,Filenumber,Answer
23,6091,हमारे एक दोस्त पूछ रहे हैं वह भी इटावा से की सेक्स कैसे करना चाहिए तो बहुत लंबा में व्यापक समान है उसमें एक पिक भेजना है कि मैं आपको बता दूंगी और वह भी नहीं किए हो रहा है किसी को पिक बोल रहे हैं ना तो कई लोगों के लिए योनि में सेंसेक्स है कई लोगों के लिए सांस लेना सेक्स है के एल्बम के लिए आंख मटक्का सेक्स है कई लोगों के लिए ₹1 ब्लू फिल्म सेक्स है ना तो क्या चीज कैसे करनी है तो कहना बहुत मुश्किल है मैं आपको राय अभी देखूंगी वेबसाइट मुकेश के बारे में बोलती है या कोई अच्छी किताब अगर आपको मिल जाए ना तो पहले अब उठा लीजिए फिर अगर आपको कोई अच्छा सवाल है और आपको पूछना आप भी आज तक हमारे यहां जरूर फोन कीजिए ठीक है जी दोस्तों आपको इस सवाल का जवाब पसंद आया तो अभी अपने फोन में नंबर 5 दबाएं
24,43,हमारे दोस्त कह रहे हैं कि यह कार्यक्रम बहुत अच्छा है राजस्थान से लिखा है वही हमें अपनी तारीफ सुनकर बहुत अच्छा लगता है इसीलिए हम ऐसे सवालों का जवाब हमेशा देते हैं लेकिन सच मानिए अगर आपको पसंद आ मैं तो हम बहुत खुश हैं हम आपको पसंद करते हैं कि आप लोग की कार्यक्रम सुनते हैं इसको चढ़ाते हैं इसका इंतजार करते हैं आप भी सुनिए आपके सवाल खुले खुले लिखिए बिल्कुल चिंता मत कीजिए राम सभा छोड़ दीजिए और अपने दोस्तों को भी की सारी जानकारी हासिल कीजिए हम सब के लिए बेहतर रहेगा ओके धन्यवाद आपकी शुभकामनाओं का
25,57,लिंग को योनि के अंदर डालने के लिए हमें कितनी ताकत की आवश्यकता है भाई साहब यह कोई अकेला है जिसको आप तोड़ने जा रहे हो ऐसा कुछ नहीं है कोई ताकत वाकत नहीं चाहिए एकदम नार्मल चल आराम से यह होना चाहिए 25 रजामंद हो रिलैक्स विद उसी की बॉडी को शरीर को अच्छी तरह से जानते हो उन्हें पता हो कि क्या होने जा रहा है मेरे साथ मुझे क्या करना है उसे दर्द नहीं होनी चाहिए उसे तकलीफ नहीं होनी चाहिए मेरा जल्दी डिस्चार्ज चीजों को आप अलग रखते हुए इन सब चीजों का ख्याल रखते हुए आप दोनों एक साथ में प्रदर्शन में आप जाएंगे कोई आपके हाथ में कोई यंत्र कोई हथोड़ा छोड़ना है जिसको आप देखें दीवार पर मारेंगे तो बहुत ज्यादा ताकत चाहिए ऐसा कुछ भी नहीं है प्यार इज्जत सरलता से आप यह कार्रवाई करेंगे दोस्तों अगर आपको इस सवाल का जवाब पसंद आया तो अभी अपने फोन नंबर 5 दबाएं
26,252,बीमारी होता पूछ रही है छत्तीसगढ़ से क्योंकि बॉयफ्रेंड के साधन का ब्रेकअप हो गया है उनको मनाने के लिए क्या करना चाहिए जितना भी आप कर सके जो भी आप कर सके ऐसा मत करना उन्हें जो है लोगों के सामने मुंह दिखाने लायक ना छोड़ो आप भी मत कर देना कहीं क्या बार-बार उनके पीछे भाग रही हो या पता नहीं कुछ खतरनाक चीज कर दिया आज आकर जहां पर भी हो जाते हैं आप पीछे पीछे उनकी आ रही हो तुमको जो है बिल्कुल शर्मिंदा महसूस होना पड़े कमेंट पास करे उनका मजाक बनाए कोई अपना प्यार दिखाने के चक्कर में यह सब मत करने लग जाना है इसको स्टॉकिंग कहते हैं ठीक है यह एक सच में क्रिमिनल एक्टिविटी है तो यह सब मत करने लग जा ना लड़का लड़की दोनों एक समान होते हैं कोई भी कर सकता है यह खता नाकामी आपको नहीं करना है अपनी गरिमा का भी ख्याल करना है और उनकी भी जो भी प्राइवेट तरीके हैं आपके आप उनसे संपर्क स्थापित करने की कोशिश कीजिए अपने आप के बारे में रखी है उनके बारे में आपको क्या फीलिंग हो किस वजह से आपका देखा हुआ है उसका थोड़ा सा विश्लेषण कर लीजिए अब कुछ सुधार लाना है तो अपने अंदर भी ला सकते हैं या उनके अंदर आना तो उनसे भी रिक्वेस्ट कर सकते हैं और इस समय के लिए भी आप क्या करना चाहते हैं आप कर लीजिए मैं हमेशा कहती हूं एक लास्ट डेट अपने मन में रख लो और एग्जांपल में 30 जनवरी तक प्यार करूंगी और उसके बाद फिर मैं उनका निर्णय फाइनल ही समझोगे आप कोशिश कर लो मैंने पैसे बताया आपको की कोई जो है सामाजिक या पब्लिक में कोई तमाशा मत कीजिए और बिल्कुल अपने आप को भी बहुत डिग्निफाइड तरीके से पेश लाइए उनको वैसे कीजिए पूरी कोशिश कीजिए कि प्यार में कोई हो नहीं होना चाहिए ऑल दोस्तों अगर आपको इस सवाल का जवाब पसंद आया तो अभी अपने फोन में नंबर 5 दबाएं
27,246,हमारी 206 से पूछेंगे हॉस्पिटल करते समय लिंग के ऊपर का भाग 6 जाता है ऐसा क्यों है कि आज क्या हो गया सब की लिंग का ऊपर का क्षेत्र चला जा रहे हैं आप कुछ किसी चीज पर उसको जा कर रहे हैं क्या कोई मोटा कपड़ा लगा रहे हैं या अगर वहां पर क्या कुछ ऐसा हो रहा है जिसकी वजह से वह चल रहा है ऐसे तो नहीं है कि सामने की चमड़ी है वह चिपक गई है क्योंकि आपने साफ स्वास्थ्य नहीं रखा है और अच्छा वह चिपक गई है वापस को हटा रहे हैं तो खुजली हो रही है वह छिल रही है ऐसा नहीं है आप जानते हैं ना कि बात से कि नजरिए से जवाब ना आते हैं तो लिंग का जो चमड़ी होता तो पीछे किया जाता है उसके नीचे से चिपचिपा पदार्थ होता है उसको साफ करना चाहिए पानी से अजय देवगन होना चाहिए ताकि आप कुछ भी बात नहीं आराम से नीचे हो जाए उसके आगे पीछे करने की कोशिश करेंगे कोई कर सकता है जिसको आप बार बार छींक जा रही है चल जा रही है ऐसे कह रहे हैं तो अपने ध्यान दीजिए और फिर भी अगर कुछ ऐसा हो रहा है तो आप डॉक्टर को दिखा सकते हैं लेकिन मुझे नहीं लगता कि कुछ चल रहा है कि आप की साफ सफाई की वजह से हो सकता है क्या बहुत तेज कर रहे हैं उसकी वजह से ठीक हो सकता है अपना ख्याल कीजिए दोस्तों अगर आपको इस सवाल का जवाब पसंद आया तो अभी अपने फोन नंबर 5 दबाएं
28,80,अब मारी धोको देगी किस उम्र के बाद सेक्स करना चाहिए नंबर 1 देखिए कहने के लिए तो दो 18 साल से कम सेक्स मत कीजिए क्योंकि वह कानूनी जोर में इमोशनली भावनात्मक तौर पर तैयार है इतना बड़ा 18 साल की हो जाते हैं तो थोड़ी समझदारी आ जाती है अपनी शरीर के बारे में आप जाने शुरू कर देते हैं आप अपना सुझाव नहीं सकते ऐसी ही करते हैं तो 18 साल से कम के लिए कहा जाता है व्यक्ति आपकी सेक्स करने के बाद आपके रिश्ते में क्या होगा आप कैसे महसूस करेंगे क्या आप इतनी बड़ी जिम्मेदारी संभाल सकेंगे क्या अगर प्रेगनेंसी हो जाएगी तो क्या करें हम आज भी पता चल गया तो उसको आप कैसे हैं अरे बॉस के घर में छोड़कर भाग गए तो क्या करोगी सारी चीजें अच्छी तरह से आपको लगता है कि मैं तैयार हूं ओके प्रभु से किसका फायदा क्या नुकसान क्या फायदा यह है कि आप अपने बारे में पता चलता है अच्छा महसूस होता है और ऐसा नदी से करें आपको प्यार को इज्जत को ध्यान में रखते हुए आप कर सकते हैं बुरा लगता है ऑडियो कुमार के अनुसार आपको इस सवाल का जवाब पसंद आया तो अभी अपनी फोन नंबर 5 दबाएं
29,6244,लखनऊ से हमारे श्रोता इस कार्यक्रम के माध्यम से जानना चाहते हैं कि लिंग और वीर्य क्या होता है वह हो दो सांप की उम्र क्या है 1 साल से उपर हो गया आप कम से कम 1 साल का बच्चा जानता है लिंग क्या होता है ठीक है और 10117 पता चल जाता है कि धीरे क्या होता है क्योंकि शरीर में तब तक तो वीर्य नहीं लग जाता है राइट तो मैं आपको रिक्वेस्ट करूंगी मेरे प्यारे दोस्त कि आप अपनी अब बताओ लिंग क्या होता है और वीर्य क्या होता है फिर मुसीबत हो तो वापस फोन करना चलो दोस्तों नंबर 5 दबाएं
30,94,मध्य प्रदेश से हमारे दोस्त पूछ रहे हैं कि क्या शादीशुदा व्यक्ति को दूध का सेवन सुबह शाम करना चाहिए जरूर पी लीजिए दूध भी पी लीजिए अपने पार्टनर को भी दे दीजिए घर के आसपास के लोगों को भी दीजिए इसका शादीशुदा क्या संबंध कहीं आप यह तो नहीं सोच रहे कि कल सुबह शाम दूध भी है तो बहुत अच्छा सेक्स कर सकेंगे ऐसा कुछ नहीं है दोस्ती सिर्फ पिक्चर दिखाने वाली चीज होती है इनके ऊपर आप विश्वास मत कीजिए नॉरमल खाना खाइए आप भी और आपके पार्टनर भी आपकी शादी थी और आप दोनों स्वस्थ रहिए आसानी से जिंदगी बताइए आप पसंद आया तो अभी अपने फोन नंबर 5 दबाएं
31,6250,हमारी दोस्त कह रहे हैं कि जब भी वह सेक्स करना चाहते हैं कि पत्नी मना कर देती आप क्या करें ओ हो आप मुझे बताइए कि आपको कोई ऐसी चीज है जो आपको मतलब जैसे की मानी है जो आप पसंद नहीं करते हैं पर एग्जांपल क्या हो सकता है बैंगन या अंडा खाओ खाओ खाओ खाओ सी चीज है जो नहीं पसंद ही नहीं आता रुचि नहीं है कुछ ठीक ही नहीं लग रहा तो वह क्यों की तरफ आएंगे और यह भी हो सकता है कि आपके पास हिस्ट्री रही है कि पहले जब आपने सेक्स कि नहीं तैयार करें शादी करने के बाद तो उसमें उनको इतना अच्छा नहीं लगा हो सकता है आपने जो जबरदस्ती की हो सकती हो सकता है कि कुछ समझ ही नहीं आ रहा कि करना क्या है शायद प्रेगनेंसी से भी डर हो है ना यह से बजे से भी वह मना कर सकती है और शायद यह भी हो सकता कि जिस चीज में हमको और कुछ पसंद ही नहीं आ रहा कोई लाभ नहीं देख रहा था मुझसे तरफ क्यों जाएंगे आप हम को बाहर ले कर जाए घुमाने के लिए बात कीजिए क्या बात है क्या मुझसे कोई गलती हुई है क्या तुम्हें कुछ अच्छा नहीं लग रहा क्या अच्छा लगता है कुछ करने कि मुझे जा कर दो मुझे चाहे करने का बताओ चलो आज हम लोग कुछ इसके बारे में बात करते हैं उन्हें अपनी तरह पहले उनका जो काम होना चाहिए तभी तो वह सेक्स में आपके साथ लीन होगी तभी तो वह आपके साथ आगे होंगे क्या प्रॉब्लम है घर में लोग कुत्ता ना करते हैं कोई आपको शर्म आ रही है लोग देखेंगे क्या है तू बड़ी प्रॉब्लम आंखों को सेट करना है तभी आप अच्छी पिक्स की उम्मीद कर सकते हैं एक चीज और अगर आप सेक्स के बारे में हम को नीचा दिखाते हैं या तंग करते हैं या घर जाते वक्त भी आप कुछ बोलेंगे और आकर बकर भी कुछ बोलेंगे और कभी हाथ वाली छोड़ देंगे तो कोई औरत कोई पार्टनर कोई आदमी सेक्स को एंजॉय नहीं कर सकता यह मत समझिए कि कुछ भी आती चल जाएगी और आपको अब तक चलेंगे आंखें तो यह बात नहीं बनती तभी वह मना करेंगे तो पता लगाइए वह क्यों मना कर रही है उन सब वध अच्छा खींचे कभी सेक्स किया कीजिए दोस्तों अगर आपको इस सवाल का जवाब पसंद आया तो अभी अपने फोन में नंबर 5 दबाएं
32,1259,झारखंड जहां रिक्शे का पूछ रहे हैं कि जो अनचाहे बाल होते हैं उन्हें किस तरह से हमेशा के लिए छुटकारा पाया जा सकता है क्या आपने लेजर ट्रीटमेंट के बारे में कोई तरीका है कहते हैं कि आप अपने तरीका है लेकिन कुछ कह नहीं सकते हैं ना और बहुत महंगा भी है मुसीबत है जो भी तरीके हैं आप उसकी सारी चीजें मिल गई है इधर आ गए हैं पी लेटर आ गए हैं और बीच है इसे मतलब जो कि हमसे कोई जल ना जाए कोई ऐसा केमिकल झांसी बीएफ निकालना चाहते हैं या नहीं लगता आप चेक कर लीजिए दोस्तों अगर आपको इस सवाल का जवाब पसंद आया तो अभी अपने फोन में नंबर 5 दबाएं
33,1271,पत्नी को सेक्स में कैसे खुश करना है लखनऊ से हमारी क्यों पूछ रहे हैं वहां की तो बहुत अच्छा सवाल है क्योंकि यह दोनों के लिए सवाल है ना आपके लिए भी और आपकी वाइफ के लिए अपने बारे में सोचना बना होता है कि मुझे सेट में अच्छा लगता है मैं क्या करूंगा मुझे क्या कैसे मिल रही है मुझे कैसे मजा आ रहा है यह सारी चीज को साइट पर रखिए उपलक्ष के हिसाब से बहुत तेज है जीपीएस नहीं है ओके पर यह बात आपको याद रखनी है हर टाइम पर और उनकी थे उनकी उत्तेजना बड़े गए आप के आस पास आ जाए उत्तेजना के हिसाब से उनको भी अच्छा लगे लगे फिर आप जो लिंग का प्रवेश करें या को चालू करें के लिए आपको अपने करेंगे को जाने की कोशिश करेंगे बढ़कर लाख करेंगे और उनकी टीम को बढ़ाएंगे सवाल का जवाब पसंद आया तो अभी फोन नंबर 5 दबाएं
34,291,हमारे दोस्त पूछो कि क्या उपयोगी भी कॉन्डम होते हैं क्या होते हैं ऐसे में कितनी औरतों के नहीं है उसकी वजह है वजह को महंगा है उसको पहनना इतना आसान नहीं है महिला के लिए है ना आने के लिए कि मोटा है तो लोग तोमर ना पतला करने के लिए आनाकानी करते हैं तो उसके बारे में तो आपको ही सोच सकते हैं और कटिंग खुशी ना हो की बॉडी जाती ना हो तो कम से कम कुछ जिम्मेवारी तो आदमी को लेनी है ना तो कम से कम करना है निरंतर इस्तेमाल करना है तो बड़ी बात है दोस्तों अगर आपको इस सवाल का जवाब पसंद आया तो अभी अपने फोन में नंबर 5 दबाएं
35,285,मध्य प्रदेश से हमारे दोस्त पूछे की सेक्स कैसे किया जाता है इसका क्या जवाब दूं मैं आपको कोई अलग किस्म सेक्स करता है हक अपनी चीज पसंद होती है या नहीं पसंद होती हैं अपनी है ना यह तो बहुत ही मुश्किल है बच्चे बच्चे दांत और एक बार कुछ पढ़ लिख लीजिए उसके बाद कोई सवाल हो तो आपके लिए आसान हो जाएगा पूछना दोस्तों इस सवाल का जवाब पसंद आया तो अभी अपनी फोन में नंबर 5 दबाएं
36,1265,वाराणसी उत्तर प्रदेश से हमारे दोस्त उसने कि यदि एक कल 18 साल का लड़का 21 साल की लड़की के साथ सेक्स करें तो कोई प्रॉब्लम हो सकती है क्या कैसी प्रॉब्लम वहां पर कोई ऐसी है कोई उपाय है जड़ी बूटी बड़ी है 20 साल की होगी तो कोई प्रॉब्लम हो जाएगी ऐसा कुछ भी नहीं है कोई प्रॉब्लम की बात नहीं है आप कर सकते हैं यदि वह तैयार हैं तो यदि आप तैयार हैं तो सोच लीजिएगा वह 30 साल की हैं आप 18 साल के हैं तो सत्ता किसके हाथ में है कल को अवरुद्ध रोज रोज सेक्स करने के लिए आओ या मैं प्रेग्नेंट हो गई हूं मैं सबको बता दूंगी तुमने मेरे साथ सेक्स किया था आप हंड्रेड कर लेंगे ये सारी बातें भी सोचना सामाजिक तौर पर यह है और दूसरा कह रहे हैं कि यदि मुंह में चला जाए तो उसे कोई प्रॉब्लम होगी क्या नहीं उसे कोई आप चाहें तो आप कह सकते हैं इसके अंदर मत दीजिए दोस्तों अगर आप इस सवाल का जवाब पसंद आया तो अभी अपने फोन में नंबर 5 दबाएं
37,1339,लुधियाना से हमारे दोस्त हैं वह हमारी बहुत तारीफ कर रहे हैं जैसे कि मैं हमेशा कहती हूं कि तारीफ की जो मैसेजेस हो गए ना हमें बहुत अच्छे लगते हैं बहुत बहुत धन्यवाद आपका आपने बहुत ही ज्यादा चीजों पर हमें तारीफ आप ही कहा कि आपका पैसा आपको आश्वासन दिया है आपने महावारी के बारे में कहा है कि उस पर आप को जानकारी मिली है आपके हैं आपको रिलैक्स महसूस हो रहा है और आप कह रहे कि यह प्रयास बहुत अच्छा है उसके लिए मैं आपका धन्यवाद देती हूं आवाज बेशक मेरी है लेकिन पी करने के लिए काम पर ही अनकही बातें क्रिया संस्था है राम वाणी संस्था है और बहुत सारे एक्सपर्ट लोग हैं जो कि से जुड़े हुए हैं वह सब को आप की तरफ से हम मुबारकबाद देते हैं और आपको भी कि आप हमारे साथ जुड़े हुए हैं फिर आपने पूछा है आप कह रहे हैं कि यदि आप की जो पत्नी है अगर वह यौन संबंध के लिए मना करती है तो क्या यह अपराध है या सजा मानी जाती है उसकी छुट्टी का जवाब है सर रे पिया ने की शादी में रेप अभी तक कुछ हुआ नहीं हो तो चर्चा जरूर हो रही है लेकिन कोई निर्धारित बात अभी तक हुई नहीं है लेकिन अपनी पत्नी को यह पैक करते हैं कि वह हमेशा के लिए तैयार होगी आपके सेक्सी डिजायर को पूरी करेगी तो यह भी अपेक्षा है नैतिकता का मामला तो है ही तू चाहे कानून उसको माने चाहे ना माने आप किसी के पर कोई जोर जबरदस्ती कर रहे हैं तो वह तो जबरदस्ती है ही नहीं तेरे से अपराध है हीना और कुछ ना हो तो मानव अधिकारों के खिलाफ टिप्पणी और कुछ क्यों ना हो यह सच में ही अपराध है यह सच में ही बहुत ही इतना नैतिक चीज है कि आप किसी का शरीर का इस्तेमाल कर रहे हैं उनकी परमिशन के बगैर ऐसे मैं तो कहूंगी हां डेफिनटली के जुर्म है चाय भी सच साबित करने में आसान हो या ना हो लेकिन वह भी किया जा सकता है वह भी मैं आपको बता देती हूं कि भी तरीके हैं साबित करने की ओके और आप की मुबारकबाद के लिए धन्यवाद अभी अपने फोन में नंबर 5
38,1305,हमारे दोस्त हैं उत्तर प्रदेश से वह पूछ रहे हैं कि महिलाओं पुरुषों के शरीर में कौन से तत्व होते हैं चुटकी उनके शारीरिक बदलाव के लिए जिम्मेदार होते हैं आप दोस्त बात करें प्रमोद की है तो हम उन आदमियों में जो कॉमन है उसको हम बोलते हैं टेस्टोस्टरॉन और प्रोजेस्टेरोन और औरतों में एस्ट्रोजन कीजिए कि दोनों तीनों होते हैं यह सारे बदलाव के लिए जिम्मेदार होते हैं और आपकी जानकारी के लिए भी बता दूं सुजन होता है महिलाओं का फॉर्म और महिलाओं में भी थोड़ा सा रोशन का होता है बस इतना ही है अगर आपको इस सवाल का जवाब पसंद आया तो अभी अपने फोन में 5 दबाएं
39,1311,हमारे दोस्तों से ही किसी स्त्री को अगर सेक्स के तैयार करना चाहे तो वह हम कैसे कर सकते हैं आप सभी करेंगे ना अगर वह खुद चाहती हो करना सक्सैना से पहले में हमेशा कहती हो जान पहचान हो जाएगी दोस्ती यारी हो जाए उसके बाद आप देख के बारे में सोचेंगे देखिए क्या वह भी इस बात में दिलचस्पी दिखाते हैं या नहीं यह बात है दूसरी महिला का शरीर शरीर से बहुत अलग होता है तो हमें थोड़ा शरीर के बारे में उसकी उत्तेजना के बारे में हमको थोड़ा सा उसके लिए जानकारी लेनी चाहिए किसी अच्छी वेबसाइट में रिलायबल वेबसाइट में भरोसेमंद पढ़ लीजिए देख लीजिए जानकारी हासिल कर लीजिए साथी आदरणीय रिश्ता उसमें आप सेक्स के बारे में नहीं लेकिन उनके बारे में भी कुछ आपको के हो आप उसके बारे में कुछ संवेदनशीलता रखते हो कि उन्हें क्या अच्छा लग रहा है किस चीज में को इज्जत महसूस होती है किस चीज में को बुरा लग रहा है सारी चीजों को भी आप सोचिए और फिर आप का प्रस्ताव रख सकते हैं हां या ना दोनों जी सकती है दोस्तों अगर आपको इस सब का जवाब पसंद आया तो अभी अपने फोन में नंबर 5 दबाएं
40,118,लिंग पतला होने का क्या कारण है हमारी दोस्त हैं अच्छा सा भिजवा दीजिए बाल काले होने का क्या कारण है तो कोई है कारण लंबा होने का क्या कारण है कोई कारण नहीं है ना तो फिर उससे लिंग पतला होने का क्या कारण है अलग अलग हो सकती है शरीर के बनावट जो आपकी शादी में चलता है वह लोग इसमें कोई अपना आकार नहीं होता कि अरे आपने आपकी माता जी क्या वहां पर मौसम ठीक नहीं था ऐसे कुछ नहीं होता मोटा आपको अपना अंदाज ठीक करना है अपना स्टाइल अच्छा करना है पार्टनर को क्या अच्छा लगता है उस पर को कॉल करना है उसी से अच्छा रिश्ता बन सकता है और फिर हमें शुरू कॉल कीजिएगा दोस्तों अगर आपको इस सवाल का जवाब पसंद आया तो अभी अपने फोन में नंबर 5 दबाएं
41,124,गर्भवती महिला के साथ सेक्स कर सकते हैं क्या यह भी नहीं पता कहते हैं कि आपको इतना याद रहना है उसके ऊपर जो भी आप प्रभाव डाल रहे हैं चाय पहले की महीने हो या आखिरी के 3 महीने हूं वह भी आप देख लीजिए कि क्या आपकी पार्टनर को भूकंप टेबल है कि नहीं है इस पंक्ति में उसने तो उनके मुश्किल हो जाता है कि पेट आगे आ जाता है वगैरह शादी में बहुत सारे तेरे होते हैं महिलाओं को पसंद नहीं आता उसका नहीं तो कुछ समय की बात है ऐसी बात नहीं है ठीक है आपकी आपकी पार्टनर रहे हैं आप दोनों सेक्स करेंगे तभी तो बच्चा होगा तभी तो आप को प्रेग्नेंट करने से पहले आ चुकी है डेफिनटली की सहमति ले ली थी कि वह आप इंटरेस्टेड है या नहीं तो अभी अपने फोन में 5 दबाएं
42,130,बिहार से हमारी सरकार ने पूछा है कि स्त्री को सेक्स में ज्यादा आनंद लेने के लिए हमें क्या करना चाहिए हो गए मुझे ऐसे सवाल बहुत अच्छे लगते हैं जो किसी को आनंद के बारे में फ्री के आनंद के बारे में ऐसा कहना चाहिए होते हैं आपको क्या कहना है आपको यह देखना है कि उन्हें क्या पसंद है वह किन चीजों से उत्तेजित होती हैं शरीर में कहां अच्छा लगता है कितना ऑडिशन में अच्छा लगता है कितना टाइम देने में अच्छा लगता है प्यारी है तो सबसे पहले आपकी पता लगाएंगे आपसे बात नहीं करना है क्या और कैसे लग रहा है और बताओ अपने मुंह से बोलो इत्यादि यदि आप कर सकते हैं पहले इसे कहते हैं ना कि बारे में बातें करना शुरू कर देते हैं जैसे आप शाम को मिले हमको तो अच्छा चलो आज हम क्या आज क्या होने वाला है हमारे बीच में कोई से डॉक्टर की बातें इत्यादि एक बात और क्या होगा तो यह तो अति अपेक्षा हो गई सॉरी स्टेटस जरूर काम कीजिए और आप दोनों सकते निजी रिश्ते में बंधे हुए हैं उस में शर्म कैसी है जो पसंद आए आप बिल्कुल कर सकते हैं पूछ सकते हैं कि उनको अच्छा लगता है या नहीं उन्हें अबोध मिथुन मुखमैथुन जिसके बारे में आपने पूछा है क्या उन्हें वह करना है कि नहीं पहले यह पता लगाइए और यदि वहां करते हैं या चाय करेंगे तैयार हैं तो सेफ्टी से जरूर कीजिए दोस्तों अगर आप इस सवाल का जवाब पसंद आया तो अभी अपने फोन में नंबर 5 दबाएं
43,6132,हमारे दोस्त दिल्ली से पूछ रहे हैं कि लिंग में तनाव नहीं आ रहा था फिर उन्होंने उपाय किया है उन्हें डॉक्टर के पास जाकर जांच करवाइए तो लिंग में तनाव पर आ रहा है लेकिन वीर्य नहीं ऐसे में हमारे पास उसके लिए कोई पूरा जवाब ही नहीं हमें इतना इसका पता नहीं है तो आप प्लीज अपनी डॉक्टर से पता लगाएं क्योंकि यह कोई मेडिकल कंडीशन ही लग रही है ना तो प्लीज आप उनसे ही देखते हैं दोस्तों अगर आपको इस सवाल का जवाब पसंद आया तो अभी अपने फोन में नंबर 5 दबाएं
44,6126,उत्तर प्रदेश में हमारी सदा खुशी है कि योनी की गहराई कितनी होती है उसके बीच में कहीं पर भी हो सकती है कोई जरूरी नहीं है लाइन हो एक ही साइड हो
45,6118,उत्तर प्रदेश मिर्जापुर से हमारे कश होता है वह पूछ रहे हैं कि सेक्स करते समय यानी महिला के साथ सेक्स करते समय लिंग अंदर जाता है तो उसमें दर्द क्यों होता है उसके 2:00 बजे हो सकती है एक ही कि आप में अच्छी तरह से चिकनाई नहीं बन रही है या कोई लुब्रिकेशन है कि चिकनाई की वजह ना होने की वजह से वह टाइट है तो आपको थोड़ा सा सर दर्द हो रहा है यह हो सकता है आपको चिकनाई उसका इस्तेमाल कर सकते हैं अपने लिंग पर भी लगा सकते हैं गोंडा सकते हैं हम दूसरी बात हो सकती है कि नहीं बन रही है और दूसरे से बात करता है कि आप कैसे पता चलेगा कि महिला में होती है कि नहीं यदि शरीर फोन करें आपकी तरफ उनको आकर्षण हो वह आपको और साथ ही शरीर के जो आखिर कहते हैं उनमें एक्शन की तैयारी हो जाए खड़ा पर आ जाए और योनि में पानी बनने लगे योनि में चिकनाई बने लगे तो यह सब उत्तेजना की निशानी है इसका मतलब उनको भी उत्तेजना भी सेक्स में दिलचस्पी नहीं हो रही इसीलिए शायद आपको भी दर्द हो रहा है मैसेजेस करूंगी कि आपको व्हाट्सएप एस लुब्रिकेंट पानी युक्त पदार्थ का इस्तेमाल कीजिए क्लास में आप जैसे कि आप कंडोम जरूर देखिए दोस्तों अगर आपको इस सवाल का जवाब पसंद आया तो अभी अपने फोन में नंबर 5 दबाएं
